iter	Passed	Remaining
816	15976	3578
817	15996	3559
818	16010	3538
819	16024	3517
820	16037	3496
821	16055	3476
822	16072	3456
823	16085	3435
824	16103	3415
825	16120	3395
826	16138	3375
827	16157	3356
828	16177	3336
829	16189	3315
830	16204	3295
831	16218	3274
832	16233	3254
833	16252	3234
834	16263	3213
835	16285	3194
836	16317	3177
837	16341	3159
838	16365	3140
839	16385	3121
840	16399	3100
841	16421	3081
842	16440	3061
843	16461	3042
844	16470	3021
845	16490	3001
846	16505	2981
847	16517	2960
848	16525	2939
849	16532	2917
850	16560	2899
851	16573	2878
852	16583	2857
853	16601	2838
854	16615	2817
855	16630	2797
856	16645	2777
857	16660	2757
858	16673	2736
859	16695	2717
860	16710	2697
861	16720	2676
862	16738	2657
863	16750	2636
864	16773	2617
865	16787	2597
866	16801	2577
867	16813	2556
868	16829	2537
869	16845	2517
870	16853	2496
871	16866	2475
872	16880	2455
873	16904	2437
874	16920	2417
875	16933	2396
876	16949	2377
877	16969	2357
878	16989	2338
879	17016	2320
880	17038	2301
881	17055	2281
882	17070	2261
883	17098	2243
884	17114	2223
885	17123	2203
886	17130	2182
887	17136	2161
888	17161	2142
889	17191	2124
890	17203	2104
891	17231	2086
892	17249	2066
893	17265	2047
894	17299	2029
895	17318	2010
896	17347	1992
897	17364	1972
898	17380	1952
899	17399	1933
900	17422	1914
901	17439	1894
902	17473	1876
903	17495	1857
904	17512	1838
905	17522	1817
906	17543	1798
907	17562	1779
908	17583	1760
909	17624	1743
910	17638	1723
911	17665	1704
912	17687	1685
913	17703	1665
914	17711	1645
915	17732	1626
916	17770	1608
917	17784	1588
918	17801	1569
919	17820	1549
920	17837	1530
921	17872	1512
922	17893	1492
923	17905	1472
924	17919	1452
925	17953	1434
926	17973	1415
927	18023	1398
928	18057	1380
929	18080	1360
930	18097	1341
931	18119	1322
932	18148	1303
933	18184	1284
934	18202	1265
935	18226	1246
936	18254	1227
937	18293	1209
938	18323	1190
939	18444	1177
940	18466	1157
941	18483	1138
942	18500	1118
943	18530	1099
944	18575	1081
945	18591	1061
946	18613	1041
947	18636	1022
948	18650	1002
949	18692	983
950	18710	964
951	18732	944
952	18750	924
953	18771	905
954	18808	886
955	18834	866
956	18858	847
957	18873	827
958	18908	808
959	18929	788
960	18954	769
961	18980	749
962	19055	732
963	19078	712
964	19092	692
965	19112	672
966	19139	653
967	19164	633
968	19186	613
969	19209	594
970	19231	574
971	19260	554
972	19296	535
973	19312	515
974	19333	495
975	19357	475
976	19368	455
977	19398	436
978	19416	416
979	19441	396
980	19458	376
981	19484	357
982	19496	337
983	19519	317
984	19528	297
985	19548	277
986	19575	257
987	19594	237
988	19605	218
989	19644	198
990	19668	178
991	19685	158
992	19716	138
993	19727	119
994	19739	99
995	19755	79
996	19771	59
997	19791	39
998	19809	19
999	19824	0
